id,scope,scope_label,model,domain,domain_zh,variant,variant_zh,measure,evaluation_metric,passed,judged,planned,missing,unique_tasks,posthoc_runs,rate,percentage,display_percentage,confirmed_lower_bound_rate_all_planned,source_hostname,source_path,source_file_sha256,updated_at
ds_core_3runs/physics/all/P,ds_core_3runs,DeepSeek Core（3次）,deepseek/deepseek-v4-flash-0731,physics,物理,all,全部,P,numerical_ID_and_OOD,9,59,60,1,20,9,0.15254237288135594,15.254237288135593,15.25%,0.15,chengjialindeMacBook-Air.local,/Users/chengjialin/Documents/机制发现benchmark/fullplan-20260923-FYKggc/analysis/domain_pm_20260924/domain_pm_statistics.json,76e3bf9a09af6e7624406b86fd501162af4b9356e40ca229fd25a82de46f3813,2026-09-24T08:51:14.835113+00:00
ds_core_3runs/physics/all/M,ds_core_3runs,DeepSeek Core（3次）,deepseek/deepseek-v4-flash-0731,physics,物理,all,全部,M,numerical_ID_and_OOD,6,59,60,1,20,9,0.1016949152542373,10.169491525423728,10.17%,0.1,chengjialindeMacBook-Air.local,/Users/chengjialin/Documents/机制发现benchmark/fullplan-20260923-FYKggc/analysis/domain_pm_20260924/domain_pm_statistics.json,76e3bf9a09af6e7624406b86fd501162af4b9356e40ca229fd25a82de46f3813,2026-09-24T08:51:14.835113+00:00
ds_core_3runs/chemistry/all/P,ds_core_3runs,DeepSeek Core（3次）,deepseek/deepseek-v4-flash-0731,chemistry,化学,all,全部,P,numerical_ID_and_OOD,5,58,60,2,20,15,0.08620689655172414,8.620689655172415,8.62%,0.08333333333333333,chengjialindeMacBook-Air.local,/Users/chengjialin/Documents/机制发现benchmark/fullplan-20260923-FYKggc/analysis/domain_pm_20260924/domain_pm_statistics.json,76e3bf9a09af6e7624406b86fd501162af4b9356e40ca229fd25a82de46f3813,2026-09-24T08:51:14.835113+00:00
ds_core_3runs/chemistry/all/M,ds_core_3runs,DeepSeek Core（3次）,deepseek/deepseek-v4-flash-0731,chemistry,化学,all,全部,M,numerical_ID_and_OOD,3,58,60,2,20,15,0.05172413793103448,5.172413793103448,5.17%,0.05,chengjialindeMacBook-Air.local,/Users/chengjialin/Documents/机制发现benchmark/fullplan-20260923-FYKggc/analysis/domain_pm_20260924/domain_pm_statistics.json,76e3bf9a09af6e7624406b86fd501162af4b9356e40ca229fd25a82de46f3813,2026-09-24T08:51:14.835113+00:00
ds_core_3runs/biology/all/P,ds_core_3runs,DeepSeek Core（3次）,deepseek/deepseek-v4-flash-0731,biology,生物,all,全部,P,numerical_ID_and_OOD,5,60,60,0,20,7,0.08333333333333333,8.333333333333334,8.33%,0.08333333333333333,chengjialindeMacBook-Air.local,/Users/chengjialin/Documents/机制发现benchmark/fullplan-20260923-FYKggc/analysis/domain_pm_20260924/domain_pm_statistics.json,76e3bf9a09af6e7624406b86fd501162af4b9356e40ca229fd25a82de46f3813,2026-09-24T08:51:14.835113+00:00
ds_core_3runs/biology/all/M,ds_core_3runs,DeepSeek Core（3次）,deepseek/deepseek-v4-flash-0731,biology,生物,all,全部,M,numerical_ID_and_OOD,0,60,60,0,20,7,0.0,0.0,0.00%,0.0,chengjialindeMacBook-Air.local,/Users/chengjialin/Documents/机制发现benchmark/fullplan-20260923-FYKggc/analysis/domain_pm_20260924/domain_pm_statistics.json,76e3bf9a09af6e7624406b86fd501162af4b9356e40ca229fd25a82de46f3813,2026-09-24T08:51:14.835113+00:00
ds_core_3runs/material/all/P,ds_core_3runs,DeepSeek Core（3次）,deepseek/deepseek-v4-flash-0731,material,材料,all,全部,P,numerical_ID_and_OOD,5,58,60,2,20,12,0.08620689655172414,8.620689655172415,8.62%,0.08333333333333333,chengjialindeMacBook-Air.local,/Users/chengjialin/Documents/机制发现benchmark/fullplan-20260923-FYKggc/analysis/domain_pm_20260924/domain_pm_statistics.json,76e3bf9a09af6e7624406b86fd501162af4b9356e40ca229fd25a82de46f3813,2026-09-24T08:51:14.835113+00:00
ds_core_3runs/material/all/M,ds_core_3runs,DeepSeek Core（3次）,deepseek/deepseek-v4-flash-0731,material,材料,all,全部,M,numerical_ID_and_OOD,0,58,60,2,20,12,0.0,0.0,0.00%,0.0,chengjialindeMacBook-Air.local,/Users/chengjialin/Documents/机制发现benchmark/fullplan-20260923-FYKggc/analysis/domain_pm_20260924/domain_pm_statistics.json,76e3bf9a09af6e7624406b86fd501162af4b9356e40ca229fd25a82de46f3813,2026-09-24T08:51:14.835113+00:00
glm_core_3runs/physics/all/P,glm_core_3runs,GLM Core（3次）,z-ai/glm-5.3-flash,physics,物理,all,全部,P,numerical_ID_and_OOD,12,58,60,2,20,0,0.20689655172413793,20.689655172413794,20.69%,0.2,chengjialindeMacBook-Air.local,/Users/chengjialin/Documents/机制发现benchmark/fullplan-20260923-FYKggc/analysis/domain_pm_20260924/domain_pm_statistics.json,76e3bf9a09af6e7624406b86fd501162af4b9356e40ca229fd25a82de46f3813,2026-09-24T08:51:14.835113+00:00
glm_core_3runs/physics/all/M,glm_core_3runs,GLM Core（3次）,z-ai/glm-5.3-flash,physics,物理,all,全部,M,numerical_ID_and_OOD,7,58,60,2,20,0,0.1206896551724138,12.068965517241379,12.07%,0.11666666666666667,chengjialindeMacBook-Air.local,/Users/chengjialin/Documents/机制发现benchmark/fullplan-20260923-FYKggc/analysis/domain_pm_20260924/domain_pm_statistics.json,76e3bf9a09af6e7624406b86fd501162af4b9356e40ca229fd25a82de46f3813,2026-09-24T08:51:14.835113+00:00
