id,scope,scope_label,model,domain,domain_zh,variant,variant_zh,measure,evaluation_metric,passed,judged,planned,missing,unique_tasks,posthoc_runs,rate,percentage,display_percentage,confirmed_lower_bound_rate_all_planned,source_hostname,source_path,source_file_sha256,updated_at
ds_core_3runs/physics/original/P,ds_core_3runs,DeepSeek Core（3次）,deepseek/deepseek-v4-flash-0731,physics,物理,original,Original,P,numerical_ID_and_OOD,6,6,6,0,2,0,1.0,100.0,100.00%,1.0,chengjialindeMacBook-Air.local,/Users/chengjialin/Documents/机制发现benchmark/fullplan-20260923-FYKggc/analysis/domain_pm_20260924/domain_pm_statistics.json,76e3bf9a09af6e7624406b86fd501162af4b9356e40ca229fd25a82de46f3813,2026-09-24T08:51:14.835113+00:00
ds_core_3runs/physics/original/M,ds_core_3runs,DeepSeek Core（3次）,deepseek/deepseek-v4-flash-0731,physics,物理,original,Original,M,numerical_ID_and_OOD,6,6,6,0,2,0,1.0,100.0,100.00%,1.0,chengjialindeMacBook-Air.local,/Users/chengjialin/Documents/机制发现benchmark/fullplan-20260923-FYKggc/analysis/domain_pm_20260924/domain_pm_statistics.json,76e3bf9a09af6e7624406b86fd501162af4b9356e40ca229fd25a82de46f3813,2026-09-24T08:51:14.835113+00:00
ds_core_3runs/physics/single/P,ds_core_3runs,DeepSeek Core（3次）,deepseek/deepseek-v4-flash-0731,physics,物理,single,单变体,P,numerical_ID_and_OOD,1,11,12,1,4,3,0.09090909090909091,9.090909090909092,9.09%,0.08333333333333333,chengjialindeMacBook-Air.local,/Users/chengjialin/Documents/机制发现benchmark/fullplan-20260923-FYKggc/analysis/domain_pm_20260924/domain_pm_statistics.json,76e3bf9a09af6e7624406b86fd501162af4b9356e40ca229fd25a82de46f3813,2026-09-24T08:51:14.835113+00:00
ds_core_3runs/physics/single/M,ds_core_3runs,DeepSeek Core（3次）,deepseek/deepseek-v4-flash-0731,physics,物理,single,单变体,M,numerical_ID_and_OOD,0,11,12,1,4,3,0.0,0.0,0.00%,0.0,chengjialindeMacBook-Air.local,/Users/chengjialin/Documents/机制发现benchmark/fullplan-20260923-FYKggc/analysis/domain_pm_20260924/domain_pm_statistics.json,76e3bf9a09af6e7624406b86fd501162af4b9356e40ca229fd25a82de46f3813,2026-09-24T08:51:14.835113+00:00
ds_core_3runs/physics/multi/P,ds_core_3runs,DeepSeek Core（3次）,deepseek/deepseek-v4-flash-0731,physics,物理,multi,多变体,P,numerical_ID_and_OOD,2,42,42,0,14,6,0.047619047619047616,4.761904761904762,4.76%,0.047619047619047616,chengjialindeMacBook-Air.local,/Users/chengjialin/Documents/机制发现benchmark/fullplan-20260923-FYKggc/analysis/domain_pm_20260924/domain_pm_statistics.json,76e3bf9a09af6e7624406b86fd501162af4b9356e40ca229fd25a82de46f3813,2026-09-24T08:51:14.835113+00:00
ds_core_3runs/physics/multi/M,ds_core_3runs,DeepSeek Core（3次）,deepseek/deepseek-v4-flash-0731,physics,物理,multi,多变体,M,numerical_ID_and_OOD,0,42,42,0,14,6,0.0,0.0,0.00%,0.0,chengjialindeMacBook-Air.local,/Users/chengjialin/Documents/机制发现benchmark/fullplan-20260923-FYKggc/analysis/domain_pm_20260924/domain_pm_statistics.json,76e3bf9a09af6e7624406b86fd501162af4b9356e40ca229fd25a82de46f3813,2026-09-24T08:51:14.835113+00:00
ds_core_3runs/chemistry/original/P,ds_core_3runs,DeepSeek Core（3次）,deepseek/deepseek-v4-flash-0731,chemistry,化学,original,Original,P,numerical_ID_and_OOD,3,6,6,0,2,1,0.5,50.0,50.00%,0.5,chengjialindeMacBook-Air.local,/Users/chengjialin/Documents/机制发现benchmark/fullplan-20260923-FYKggc/analysis/domain_pm_20260924/domain_pm_statistics.json,76e3bf9a09af6e7624406b86fd501162af4b9356e40ca229fd25a82de46f3813,2026-09-24T08:51:14.835113+00:00
ds_core_3runs/chemistry/original/M,ds_core_3runs,DeepSeek Core（3次）,deepseek/deepseek-v4-flash-0731,chemistry,化学,original,Original,M,numerical_ID_and_OOD,2,6,6,0,2,1,0.3333333333333333,33.333333333333336,33.33%,0.3333333333333333,chengjialindeMacBook-Air.local,/Users/chengjialin/Documents/机制发现benchmark/fullplan-20260923-FYKggc/analysis/domain_pm_20260924/domain_pm_statistics.json,76e3bf9a09af6e7624406b86fd501162af4b9356e40ca229fd25a82de46f3813,2026-09-24T08:51:14.835113+00:00
ds_core_3runs/chemistry/single/P,ds_core_3runs,DeepSeek Core（3次）,deepseek/deepseek-v4-flash-0731,chemistry,化学,single,单变体,P,numerical_ID_and_OOD,2,12,12,0,4,3,0.16666666666666666,16.666666666666668,16.67%,0.16666666666666666,chengjialindeMacBook-Air.local,/Users/chengjialin/Documents/机制发现benchmark/fullplan-20260923-FYKggc/analysis/domain_pm_20260924/domain_pm_statistics.json,76e3bf9a09af6e7624406b86fd501162af4b9356e40ca229fd25a82de46f3813,2026-09-24T08:51:14.835113+00:00
ds_core_3runs/chemistry/single/M,ds_core_3runs,DeepSeek Core（3次）,deepseek/deepseek-v4-flash-0731,chemistry,化学,single,单变体,M,numerical_ID_and_OOD,1,12,12,0,4,3,0.08333333333333333,8.333333333333334,8.33%,0.08333333333333333,chengjialindeMacBook-Air.local,/Users/chengjialin/Documents/机制发现benchmark/fullplan-20260923-FYKggc/analysis/domain_pm_20260924/domain_pm_statistics.json,76e3bf9a09af6e7624406b86fd501162af4b9356e40ca229fd25a82de46f3813,2026-09-24T08:51:14.835113+00:00
